Product Name,Amazon ASIN,Amazon Offer ID,Tradepost Asset Config ID,Notes
Pokemon TCG Scarlet & Violet 3.5 Pokemon 151 Alakazam Ex Box,B0C8Y8MJ36,Lj%2BmRu4FwdRIUkKr9RqqyD04ALBklnoa8SZSVowJABG45zfHOOZWLfd74Pg0VQMxJ8r6rU%2BoGsIaAkFZ51wquGpqoNwVWYPCPOEc%2FD4hYEYaBjqxRGJd%2FiSQqxaZkYpnOpnTmurDjdadqSfTLffZAQ%3D%3D,,
Destined Rivals Booster Bundle - SV10: Destined Rivals (DRI),B0F2BCG1Y5,Vx3M0%2FOTH%2BJMCJxomm4njcVTZBhglYHAOJAVESYZ4gug9kuX%2FOTVvl6ZBRbIQMYJBcByTY6TLp3%2B1Qk4LWkpKJG8%2Fvq4xkld1mM%2BpumPC9xPPdGZdOgTn92ZeicjFDyKqXj1wIvwdKUFdiyeCVKHKA%3D%3D,,
PALDEAN Fates Booster Bundle,B0CNFJ4QBP,r9YRBxCdIqxzpoJWFQOPToD2MMv1Tx4Odp0mRmOUu14IAmdUz1%2FUTxo2I6m1eGqJuQdLWnoqL%2BOV5INhSTPtkgK2zz%2BOzKJu2nRPddEY2oQygUI5W5Wdh3gfx3qzEl7Nmsvxa%2F4TKqVUMvzZShNa2Q%3D%3D,,
Phantasmal Flames Booster Bundle,B0FPLLR939,NGJvD3fqs9lbIHQ6PM9tufyXhw2wWdLBPzINk0zRDOL6ony1NZPFNIwfla%2BYVHFMLhy0m0eG%2BrEod10CNKz0mZQrAIxffQPJTYBlZmGy2VP1QmZ%2Bx1erK021L6xMWvx0BmItEJvaEx1RZyZMLW8RMA%3D%3D,,
Mega Charizard X ex Ultra-Premium Collection,B0FPDLTVVV,Xfqe%2BfZTLQfT%2FRnyZ4xyQ6pC7ePwWlNXTGDqZBlz4SyurNujmMpicRTmV42FWJYGYMRlNLYeevIwQO2vWvsLVe1AgcQZDMaVvMEFlEkErqvsfIH%2Bw%2BpedG71SMYDpMuWfdTn7j6XpObOJuwle4q1EQ%3D%3D,,
Stellar Crown Elite Trainer Box,B0D894GL5B,ub3IAKrjCKixGq0TvJmhPTpV9kFdloPntdOotgGVFiFU5ew9QccAsw5HIMUXuPbjcHCN22TfjWuV04WkJKEa%2F58eSUNc8ePfsI27kw%2BbbjP5gi9sofef8TTyhJnsXKfutnMNRDfJQcUG935KNZ4wEQ%3D%3D,,
Destined Rivals Elite Trainer Box,B0F2BDXW4J,%2FAovCyq2h92F7RBClw8OKtM%2FKR6LDI0CLPSndE53FsYtElKaZwX%2FCSJIWlY%2FsEpre0cVwhGqryV%2BAkMngW4eadzad3iWHwyEq6vOeSIWG7Y63CesB8USok9YIFk9MuVAB1hwZ68ZhdlKngI2c8ukxw%3D%3D,,
White Flare Elite Trainer Box,B0F6Q92F5H,JTfWV5I1of38r97VjRwktogRhACLcRv%2BynI4UayYKlq1TwV41IJi2sOWpbyOkhDSt2TAofi4HnYHjbEFS75wo4ogMZzaYizKCTJBReUx5lrjgsSFQNpeNTY2hAqc5OBnVcgztU4WxsLuumN%2FvKdf3g%3D%3D,,
Black Bolt Elite Trainer Box,B0F6PTRKTH,KE0HIp%2B0y8bMJU%2FYl0Js4DxU%2FmbiEWP4pbTAANy1%2BOfHKyWXtTWhivetF9LzZOk54JF%2FZ4t%2Fnv02mjPE5Ufm3Le3lSgMNmHo2ZMCNfv2FsrOK6wUv%2Fvuja6kfM79UlGGgeconIAsIYrzffFaquk2CQ%3D%3D,,
Twilight Masquerade Elite Trainer Box,B0CXY99B6D,SF%2FF4oVvqGWSX7%2B2%2FqzIjv5qVu3pebQbtfCBaMfXeiGBvKJ5zOk160cFvzNrdvFK1fq4EpknpYJYdbd83O6AjthT5%2BP5GYWik04DyL5ZHtairmhTe%2FXFfPb6zCKE49dYvywZHW3n1LN0g7hl9FUeCw%3D%3D,,
